day,location,temperature
1996-05-02,rkm440,
1996-05-02,rkm479,10.272
1996-05-02,rkm450,
1996-05-02,rkm485,9.942
1996-05-02,rkm444,12.203
1996-05-02,rkm483,10.052
1996-05-02,rkm470,10.769
1996-05-03,rkm440,
1996-05-03,rkm450,
1996-05-03,rkm483,9.901
1996-05-03,rkm470,10.494000000000002
1996-05-03,rkm444,11.68
1996-05-03,rkm485,9.81
1996-05-03,rkm479,10.083
1996-05-04,rkm470,10.45
1996-05-04,rkm479,10.066
1996-05-04,rkm444,11.562000000000001
1996-05-04,rkm450,
1996-05-04,rkm440,
1996-05-04,rkm483,9.895
1996-05-04,rkm485,9.81
1996-05-05,rkm470,10.463
1996-05-05,rkm450,
1996-05-05,rkm444,11.607999999999999
1996-05-05,rkm479,10.067
1996-05-05,rkm483,9.891
1996-05-05,rkm440,
1996-05-05,rkm485,9.802999999999999
1996-05-06,rkm470,10.572000000000001
1996-05-06,rkm479,10.156
1996-05-06,rkm450,
1996-05-06,rkm440,
1996-05-06,rkm444,11.775
1996-05-06,rkm483,9.971
1996-05-06,rkm485,9.879
